Postaja,Regija,Datum,SO2
eis krsko,Posavska,2004-03-31,233.0
celje,Savinjska,2004-03-31,41.0
sostanj,Savinjska,2004-03-31,95.0
topolsica,Savinjska,2004-03-31,22.0
veliki vrh,Savinjska,2004-03-31,101.0
zavodnje,Savinjska,2004-03-31,35.0
velenje,Savinjska,2004-03-31,20.0
skale,Savinjska,2004-03-31,55.0
eis celje,Savinjska,2004-03-31,11.0
eis teb,Savinjska,2004-03-31,27.0
trbovlje,Zasavska,2004-03-31,84.0
hrastnik,Zasavska,2004-03-31,87.0
zagorje,Zasavska,2004-03-31,106.0
kovk,Zasavska,2004-03-31,323.0
dobovec,Zasavska,2004-03-31,139.0
kum,Zasavska,2004-03-31,34.0
ravenska vas,Zasavska,2004-03-31,241.0
nova gorica,Goriška,2004-04-30,8.0
graska gora,Koroška,2004-04-30,23.0
ljubljana b.,Osrednjeslovenska,2004-04-30,33.0
vnajnarje,Osrednjeslovenska,2004-04-30,56.0
maribor,Podravska,2004-04-30,15.0
murska s.-rakican,Pomurska,2004-04-30,7.0
pesje,Posavska,2004-04-30,18.0
eis krsko,Posavska,2004-04-30,156.0
celje,Savinjska,2004-04-30,25.0
sostanj,Savinjska,2004-04-30,97.0
topolsica,Savinjska,2004-04-30,15.0
veliki vrh,Savinjska,2004-04-30,59.0
zavodnje,Savinjska,2004-04-30,14.0
velenje,Savinjska,2004-04-30,14.0
skale,Savinjska,2004-04-30,21.0
eis celje,Savinjska,2004-04-30,15.0
eis teb,Savinjska,2004-04-30,24.0
trbovlje,Zasavska,2004-04-30,29.0
hrastnik,Zasavska,2004-04-30,59.0
zagorje,Zasavska,2004-04-30,93.0
kovk,Zasavska,2004-04-30,171.0
dobovec,Zasavska,2004-04-30,124.0
kum,Zasavska,2004-04-30,35.0
ravenska vas,Zasavska,2004-04-30,153.0
nova gorica,Goriška,2004-05-31,22.0
graska gora,Koroška,2004-05-31,43.0
ljubljana b.,Osrednjeslovenska,2004-05-31,10.0
vnajnarje,Osrednjeslovenska,2004-05-31,13.0
maribor,Podravska,2004-05-31,20.0
murska s.-rakican,Pomurska,2004-05-31,8.0
pesje,Posavska,2004-05-31,14.0
eis krsko,Posavska,2004-05-31,115.0
celje,Savinjska,2004-05-31,19.0
sostanj,Savinjska,2004-05-31,71.0
topolsica,Savinjska,2004-05-31,13.0
veliki vrh,Savinjska,2004-05-31,64.0
zavodnje,Savinjska,2004-05-31,22.0
velenje,Savinjska,2004-05-31,16.0
skale,Savinjska,2004-05-31,22.0
eis celje,Savinjska,2004-05-31,8.0
eis teb,Savinjska,2004-05-31,19.0
trbovlje,Zasavska,2004-05-31,29.0
hrastnik,Zasavska,2004-05-31,41.0
zagorje,Zasavska,2004-05-31,85.0
kovk,Zasavska,2004-05-31,251.0
dobovec,Zasavska,2004-05-31,84.0
kum,Zasavska,2004-05-31,21.0
ravenska vas,Zasavska,2004-05-31,144.0
nova gorica,Goriška,2004-06-30,15.0
graska gora,Koroška,2004-06-30,19.0
ljubljana b.,Osrednjeslovenska,2004-06-30,10.0
vnajnarje,Osrednjeslovenska,2004-06-30,8.0
maribor,Podravska,2004-06-30,17.0
murska s.-rakican,Pomurska,2004-06-30,11.0
pesje,Posavska,2004-06-30,17.0
eis krsko,Posavska,2004-06-30,100.0
celje,Savinjska,2004-06-30,10.0
sostanj,Savinjska,2004-06-30,83.0
topolsica,Savinjska,2004-06-30,18.0
veliki vrh,Savinjska,2004-06-30,93.0
zavodnje,Savinjska,2004-06-30,18.0
velenje,Savinjska,2004-06-30,10.0
skale,Savinjska,2004-06-30,11.0
eis celje,Savinjska,2004-06-30,3.0
eis teb,Savinjska,2004-06-30,
trbovlje,Zasavska,2004-06-30,10.0
hrastnik,Zasavska,2004-06-30,10.0
zagorje,Zasavska,2004-06-30,66.0
kovk,Zasavska,2004-06-30,41.0
dobovec,Zasavska,2004-06-30,130.0
kum,Zasavska,2004-06-30,18.0
ravenska vas,Zasavska,2004-06-30,67.0
nova gorica,Goriška,2004-07-31,15.0
graska gora,Koroška,2004-07-31,14.0
ljubljana b.,Osrednjeslovenska,2004-07-31,7.0
vnajnarje,Osrednjeslovenska,2004-07-31,7.0
maribor,Podravska,2004-07-31,22.0
murska s.-rakican,Pomurska,2004-07-31,6.0
pesje,Posavska,2004-07-31,20.0
eis krsko,Posavska,2004-07-31,62.0
celje,Savinjska,2004-07-31,10.0
sostanj,Savinjska,2004-07-31,173.0
topolsica,Savinjska,2004-07-31,19.0
veliki vrh,Savinjska,2004-07-31,116.0
zavodnje,Savinjska,2004-07-31,55.0
velenje,Savinjska,2004-07-31,17.0
skale,Savinjska,2004-07-31,12.0
eis celje,Savinjska,2004-07-31,4.0
eis teb,Savinjska,2004-07-31,30.0
trbovlje,Zasavska,2004-07-31,15.0
hrastnik,Zasavska,2004-07-31,11.0
zagorje,Zasavska,2004-07-31,18.0
kovk,Zasavska,2004-07-31,50.0
dobovec,Zasavska,2004-07-31,60.0
kum,Zasavska,2004-07-31,44.0
ravenska vas,Zasavska,2004-07-31,48.0
nova gorica,Goriška,2004-08-31,8.0
graska gora,Koroška,2004-08-31,33.0
ljubljana b.,Osrednjeslovenska,2004-08-31,8.0
vnajnarje,Osrednjeslovenska,2004-08-31,8.0
maribor,Podravska,2004-08-31,10.0
murska s.-rakican,Pomurska,2004-08-31,8.0
pesje,Posavska,2004-08-31,25.0
eis krsko,Posavska,2004-08-31,104.0
celje,Savinjska,2004-08-31,17.0
sostanj,Savinjska,2004-08-31,114.0
topolsica,Savinjska,2004-08-31,18.0
veliki vrh,Savinjska,2004-08-31,109.0
zavodnje,Savinjska,2004-08-31,40.0
velenje,Savinjska,2004-08-31,15.0
skale,Savinjska,2004-08-31,41.0
eis celje,Savinjska,2004-08-31,
eis teb,Savinjska,2004-08-31,18.0
trbovlje,Zasavska,2004-08-31,40.0
hrastnik,Zasavska,2004-08-31,65.0
zagorje,Zasavska,2004-08-31,59.0
kovk,Zasavska,2004-08-31,188.0
dobovec,Zasavska,2004-08-31,172.0
kum,Zasavska,2004-08-31,38.0
ravenska vas,Zasavska,2004-08-31,118.0
nova gorica,Goriška,2004-09-30,14.0
graska gora,Koroška,2004-09-30,32.0
ljubljana b.,Osrednjeslovenska,2004-09-30,18.0
vnajnarje,Osrednjeslovenska,2004-09-30,38.0
maribor,Podravska,2004-09-30,13.0
murska s.-rakican,Pomurska,2004-09-30,8.0
pesje,Posavska,2004-09-30,25.0
eis krsko,Posavska,2004-09-30,106.0
celje,Savinjska,2004-09-30,23.0
sostanj,Savinjska,2004-09-30,95.0
topolsica,Savinjska,2004-09-30,17.0
veliki vrh,Savinjska,2004-09-30,91.0
zavodnje,Savinjska,2004-09-30,17.0
velenje,Savinjska,2004-09-30,19.0
skale,Savinjska,2004-09-30,36.0
eis celje,Savinjska,2004-09-30,
eis teb,Savinjska,2004-09-30,34.0
trbovlje,Zasavska,2004-09-30,42.0
hrastnik,Zasavska,2004-09-30,74.0
zagorje,Zasavska,2004-09-30,102.0
kovk,Zasavska,2004-09-30,196.0
dobovec,Zasavska,2004-09-30,238.0
kum,Zasavska,2004-09-30,19.0
ravenska vas,Zasavska,2004-09-30,150.0
nova gorica,Goriška,2004-10-31,11.0
graska gora,Koroška,2004-10-31,26.0
ljubljana b.,Osrednjeslovenska,2004-10-31,20.0
vnajnarje,Osrednjeslovenska,2004-10-31,24.0
maribor,Podravska,2004-10-31,13.0
murska s.-rakican,Pomurska,2004-10-31,7.0
pesje,Posavska,2004-10-31,17.0
eis krsko,Posavska,2004-10-31,92.0
celje,Savinjska,2004-10-31,20.0
sostanj,Savinjska,2004-10-31,45.0
topolsica,Savinjska,2004-10-31,27.0
veliki vrh,Savinjska,2004-10-31,83.0
zavodnje,Savinjska,2004-10-31,23.0
velenje,Savinjska,2004-10-31,12.0
skale,Savinjska,2004-10-31,40.0
eis celje,Savinjska,2004-10-31,
eis teb,Savinjska,2004-10-31,29.0
trbovlje,Zasavska,2004-10-31,31.0
hrastnik,Zasavska,2004-10-31,56.0
zagorje,Zasavska,2004-10-31,25.0
kovk,Zasavska,2004-10-31,224.0
dobovec,Zasavska,2004-10-31,75.0
kum,Zasavska,2004-10-31,9.0
ravenska vas,Zasavska,2004-10-31,88.0
nova gorica,Goriška,2004-11-30,18.0
graska gora,Koroška,2004-11-30,29.0
ljubljana b.,Osrednjeslovenska,2004-11-30,30.0
vnajnarje,Osrednjeslovenska,2004-11-30,35.0
maribor,Podravska,2004-11-30,22.0
murska s.-rakican,Pomurska,2004-11-30,11.0
pesje,Posavska,2004-11-30,23.0
eis krsko,Posavska,2004-11-30,131.0
celje,Savinjska,2004-11-30,34.0
sostanj,Savinjska,2004-11-30,57.0
topolsica,Savinjska,2004-11-30,17.0
veliki vrh,Savinjska,2004-11-30,149.0
zavodnje,Savinjska,2004-11-30,50.0
velenje,Savinjska,2004-11-30,16.0
skale,Savinjska,2004-11-30,24.0
eis celje,Savinjska,2004-11-30,15.0
eis teb,Savinjska,2004-11-30,16.0
trbovlje,Zasavska,2004-11-30,68.0
hrastnik,Zasavska,2004-11-30,75.0
zagorje,Zasavska,2004-11-30,146.0
kovk,Zasavska,2004-11-30,294.0
dobovec,Zasavska,2004-11-30,407.0
kum,Zasavska,2004-11-30,36.0
ravenska vas,Zasavska,2004-11-30,300.0
nova gorica,Goriška,2004-12-31,47.0
graska gora,Koroška,2004-12-31,99.0
ljubljana b.,Osrednjeslovenska,2004-12-31,38.0
vnajnarje,Osrednjeslovenska,2004-12-31,57.0
maribor,Podravska,2004-12-31,16.0
murska s.-rakican,Pomurska,2004-12-31,13.0
pesje,Posavska,2004-12-31,55.0
eis krsko,Posavska,2004-12-31,71.0
celje,Savinjska,2004-12-31,100.0
sostanj,Savinjska,2004-12-31,79.0
topolsica,Savinjska,2004-12-31,102.0
veliki vrh,Savinjska,2004-12-31,138.0
zavodnje,Savinjska,2004-12-31,72.0
velenje,Savinjska,2004-12-31,64.0
skale,Savinjska,2004-12-31,55.0
eis celje,Savinjska,2004-12-31,45.0
eis teb,Savinjska,2004-12-31,33.0
trbovlje,Zasavska,2004-12-31,47.0
hrastnik,Zasavska,2004-12-31,625.0
zagorje,Zasavska,2004-12-31,561.0
kovk,Zasavska,2004-12-31,875.0
dobovec,Zasavska,2004-12-31,807.0
kum,Zasavska,2004-12-31,26.0
ravenska vas,Zasavska,2004-12-31,850.0
nova gorica,Goriška,2005-01-31,13.0
graska gora,Koroška,2005-01-31,54.0
ljubljana b.,Osrednjeslovenska,2005-01-31,15.0
vnajnarje,Osrednjeslovenska,2005-01-31,22.0
maribor,Podravska,2005-01-31,30.0
murska s.-rakican,Pomurska,2005-01-31,19.0
pesje,Posavska,2005-01-31,26.0
eis krsko,Posavska,2005-01-31,192.0
celje,Savinjska,2005-01-31,30.0
sostanj,Savinjska,2005-01-31,37.0
topolsica,Savinjska,2005-01-31,41.0
veliki vrh,Savinjska,2005-01-31,135.0
zavodnje,Savinjska,2005-01-31,97.0
velenje,Savinjska,2005-01-31,27.0
skale,Savinjska,2005-01-31,25.0
eis celje,Savinjska,2005-01-31,14.0
eis teb,Savinjska,2005-01-31,20.0
trbovlje,Zasavska,2005-01-31,27.0
hrastnik,Zasavska,2005-01-31,43.0
zagorje,Zasavska,2005-01-31,158.0
kovk,Zasavska,2005-01-31,193.0
dobovec,Zasavska,2005-01-31,332.0
kum,Zasavska,2005-01-31,72.0
ravenska vas,Zasavska,2005-01-31,470.0
nova gorica,Goriška,2005-02-28,18.0
graska gora,Koroška,2005-02-28,52.0
ljubljana b.,Osrednjeslovenska,2005-02-28,33.0
vnajnarje,Osrednjeslovenska,2005-02-28,57.0
maribor,Podravska,2005-02-28,31.0
murska s.-rakican,Pomurska,2005-02-28,33.0
pesje,Posavska,2005-02-28,30.0
eis krsko,Posavska,2005-02-28,76.0
celje,Savinjska,2005-02-28,44.0
sostanj,Savinjska,2005-02-28,37.0
topolsica,Savinjska,2005-02-28,26.0
veliki vrh,Savinjska,2005-02-28,95.0
zavodnje,Savinjska,2005-02-28,66.0
velenje,Savinjska,2005-02-28,15.0
skale,Savinjska,2005-02-28,37.0
eis celje,Savinjska,2005-02-28,28.0
eis teb,Savinjska,2005-02-28,35.0
trbovlje,Zasavska,2005-02-28,80.0
hrastnik,Zasavska,2005-02-28,60.0
zagorje,Zasavska,2005-02-28,79.0
kovk,Zasavska,2005-02-28,200.0
dobovec,Zasavska,2005-02-28,169.0
kum,Zasavska,2005-02-28,57.0
ravenska vas,Zasavska,2005-02-28,422.0
nova gorica,Goriška,2005-03-31,18.0
graska gora,Koroška,2005-03-31,43.0
ljubljana b.,Osrednjeslovenska,2005-03-31,31.0
vnajnarje,Osrednjeslovenska,2005-03-31,38.0
maribor,Podravska,2005-03-31,21.0
murska s.-rakican,Pomurska,2005-03-31,20.0
pesje,Posavska,2005-03-31,24.0
eis krsko,Posavska,2005-03-31,276.0
celje,Savinjska,2005-03-31,23.0
sostanj,Savinjska,2005-03-31,85.0
topolsica,Savinjska,2005-03-31,29.0
veliki vrh,Savinjska,2005-03-31,60.0
zavodnje,Savinjska,2005-03-31,34.0
velenje,Savinjska,2005-03-31,16.0
skale,Savinjska,2005-03-31,64.0
eis celje,Savinjska,2005-03-31,16.0
eis teb,Savinjska,2005-03-31,40.0
trbovlje,Zasavska,2005-03-31,75.0
hrastnik,Zasavska,2005-03-31,55.0
zagorje,Zasavska,2005-03-31,97.0
kovk,Zasavska,2005-03-31,192.0
dobovec,Zasavska,2005-03-31,157.0
kum,Zasavska,2005-03-31,97.0
ravenska vas,Zasavska,2005-03-31,364.0
nova gorica,Goriška,2005-04-30,18.0
graska gora,Koroška,2005-04-30,29.0
ljubljana b.,Osrednjeslovenska,2005-04-30,11.0
vnajnarje,Osrednjeslovenska,2005-04-30,31.0
maribor,Podravska,2005-04-30,13.0
murska s.-rakican,Pomurska,2005-04-30,14.0
pesje,Posavska,2005-04-30,18.0
eis krsko,Posavska,2005-04-30,124.0
celje,Savinjska,2005-04-30,13.0
sostanj,Savinjska,2005-04-30,76.0
topolsica,Savinjska,2005-04-30,11.0
veliki vrh,Savinjska,2005-04-30,78.0
zavodnje,Savinjska,2005-04-30,54.0
velenje,Savinjska,2005-04-30,9.0
skale,Savinjska,2005-04-30,19.0
eis celje,Savinjska,2005-04-30,2.0
eis teb,Savinjska,2005-04-30,27.0
trbovlje,Zasavska,2005-04-30,56.0
hrastnik,Zasavska,2005-04-30,68.0
zagorje,Zasavska,2005-04-30,34.0
kovk,Zasavska,2005-04-30,133.0
dobovec,Zasavska,2005-04-30,43.0
kum,Zasavska,2005-04-30,6.0
ravenska vas,Zasavska,2005-04-30,247.0
nova gorica,Goriška,2005-05-31,22.0
graska gora,Koroška,2005-05-31,22.0
ljubljana b.,Osrednjeslovenska,2005-05-31,4.0
vnajnarje,Osrednjeslovenska,2005-05-31,6.0
maribor,Podravska,2005-05-31,9.0
murska s.-rakican,Pomurska,2005-05-31,7.0
pesje,Posavska,2005-05-31,14.0
eis krsko,Posavska,2005-05-31,137.0
celje,Savinjska,2005-05-31,12.0
sostanj,Savinjska,2005-05-31,53.0
topolsica,Savinjska,2005-05-31,13.0
veliki vrh,Savinjska,2005-05-31,35.0
zavodnje,Savinjska,2005-05-31,28.0
velenje,Savinjska,2005-05-31,7.0
skale,Savinjska,2005-05-31,19.0
eis celje,Savinjska,2005-05-31,2.0
eis teb,Savinjska,2005-05-31,
trbovlje,Zasavska,2005-05-31,25.0
hrastnik,Zasavska,2005-05-31,18.0
zagorje,Zasavska,2005-05-31,11.0
kovk,Zasavska,2005-05-31,9.0
dobovec,Zasavska,2005-05-31,6.0
kum,Zasavska,2005-05-31,2.0
ravenska vas,Zasavska,2005-05-31,45.0
nova gorica,Goriška,2005-06-30,13.0
graska gora,Koroška,2005-06-30,36.0
ljubljana b.,Osrednjeslovenska,2005-06-30,4.0
vnajnarje,Osrednjeslovenska,2005-06-30,9.0
maribor,Podravska,2005-06-30,8.0
murska s.-rakican,Pomurska,2005-06-30,5.0
pesje,Posavska,2005-06-30,10.0
eis krsko,Posavska,2005-06-30,83.0
celje,Savinjska,2005-06-30,13.0
sostanj,Savinjska,2005-06-30,66.0
topolsica,Savinjska,2005-06-30,22.0
veliki vrh,Savinjska,2005-06-30,69.0
zavodnje,Savinjska,2005-06-30,31.0
velenje,Savinjska,2005-06-30,8.0
skale,Savinjska,2005-06-30,19.0
eis celje,Savinjska,2005-06-30,2.0
eis teb,Savinjska,2005-06-30,13.0
trbovlje,Zasavska,2005-06-30,46.0
hrastnik,Zasavska,2005-06-30,47.0
zagorje,Zasavska,2005-06-30,26.0
kovk,Zasavska,2005-06-30,174.0
dobovec,Zasavska,2005-06-30,83.0
kum,Zasavska,2005-06-30,36.0
ravenska vas,Zasavska,2005-06-30,139.0
nova gorica,Goriška,2005-07-31,16.0
graska gora,Koroška,2005-07-31,41.0
ljubljana b.,Osrednjeslovenska,2005-07-31,7.0
vnajnarje,Osrednjeslovenska,2005-07-31,16.0
maribor,Podravska,2005-07-31,14.0
murska s.-rakican,Pomurska,2005-07-31,8.0
pesje,Posavska,2005-07-31,21.0
eis krsko,Posavska,2005-07-31,49.0
celje,Savinjska,2005-07-31,9.0
sostanj,Savinjska,2005-07-31,95.0
topolsica,Savinjska,2005-07-31,26.0
veliki vrh,Savinjska,2005-07-31,63.0
zavodnje,Savinjska,2005-07-31,67.0
velenje,Savinjska,2005-07-31,21.0
skale,Savinjska,2005-07-31,51.0
eis celje,Savinjska,2005-07-31,3.0
eis teb,Savinjska,2005-07-31,
trbovlje,Zasavska,2005-07-31,66.0
hrastnik,Zasavska,2005-07-31,35.0
zagorje,Zasavska,2005-07-31,42.0
kovk,Zasavska,2005-07-31,198.0
dobovec,Zasavska,2005-07-31,109.0
kum,Zasavska,2005-07-31,51.0
ravenska vas,Zasavska,2005-07-31,63.0
nova gorica,Goriška,2005-08-31,9.0
graska gora,Koroška,2005-08-31,41.0
ljubljana b.,Osrednjeslovenska,2005-08-31,6.0
vnajnarje,Osrednjeslovenska,2005-08-31,25.0
maribor,Podravska,2005-08-31,7.0
murska s.-rakican,Pomurska,2005-08-31,4.0
pesje,Posavska,2005-08-31,9.0
eis krsko,Posavska,2005-08-31,44.0
celje,Savinjska,2005-08-31,17.0
sostanj,Savinjska,2005-08-31,48.0
topolsica,Savinjska,2005-08-31,19.0
veliki vrh,Savinjska,2005-08-31,95.0
zavodnje,Savinjska,2005-08-31,69.0
velenje,Savinjska,2005-08-31,6.0
skale,Savinjska,2005-08-31,25.0
eis celje,Savinjska,2005-08-31,4.0
eis teb,Savinjska,2005-08-31,
trbovlje,Zasavska,2005-08-31,33.0
hrastnik,Zasavska,2005-08-31,86.0
zagorje,Zasavska,2005-08-31,35.0
kovk,Zasavska,2005-08-31,198.0
dobovec,Zasavska,2005-08-31,240.0
kum,Zasavska,2005-08-31,94.0
ravenska vas,Zasavska,2005-08-31,43.0
nova gorica,Goriška,2005-09-30,9.0
graska gora,Koroška,2005-09-30,55.0
ljubljana b.,Osrednjeslovenska,2005-09-30,7.0
vnajnarje,Osrednjeslovenska,2005-09-30,34.0
maribor,Podravska,2005-09-30,12.0
murska s.-rakican,Pomurska,2005-09-30,9.0
pesje,Posavska,2005-09-30,19.0
eis krsko,Posavska,2005-09-30,67.0
celje,Savinjska,2005-09-30,19.0
sostanj,Savinjska,2005-09-30,111.0
topolsica,Savinjska,2005-09-30,28.0
veliki vrh,Savinjska,2005-09-30,184.0
zavodnje,Savinjska,2005-09-30,59.0
velenje,Savinjska,2005-09-30,8.0
skale,Savinjska,2005-09-30,33.0
eis celje,Savinjska,2005-09-30,6.0
eis teb,Savinjska,2005-09-30,28.0
trbovlje,Zasavska,2005-09-30,129.0
hrastnik,Zasavska,2005-09-30,43.0
zagorje,Zasavska,2005-09-30,56.0
kovk,Zasavska,2005-09-30,220.0
dobovec,Zasavska,2005-09-30,166.0
kum,Zasavska,2005-09-30,18.0
ravenska vas,Zasavska,2005-09-30,57.0
nova gorica,Goriška,2005-10-31,14.0
graska gora,Koroška,2005-10-31,23.0
ljubljana b.,Osrednjeslovenska,2005-10-31,7.0
vnajnarje,Osrednjeslovenska,2005-10-31,23.0
maribor,Podravska,2005-10-31,29.0
murska s.-rakican,Pomurska,2005-10-31,9.0
pesje,Posavska,2005-10-31,11.0
eis krsko,Posavska,2005-10-31,113.0
celje,Savinjska,2005-10-31,16.0
sostanj,Savinjska,2005-10-31,58.0
topolsica,Savinjska,2005-10-31,19.0
veliki vrh,Savinjska,2005-10-31,78.0
zavodnje,Savinjska,2005-10-31,29.0
velenje,Savinjska,2005-10-31,9.0
skale,Savinjska,2005-10-31,25.0
eis celje,Savinjska,2005-10-31,
eis teb,Savinjska,2005-10-31,
trbovlje,Zasavska,2005-10-31,95.0
hrastnik,Zasavska,2005-10-31,49.0
zagorje,Zasavska,2005-10-31,38.0
kovk,Zasavska,2005-10-31,192.0
dobovec,Zasavska,2005-10-31,135.0
kum,Zasavska,2005-10-31,21.0
ravenska vas,Zasavska,2005-10-31,71.0
nova gorica,Goriška,2005-11-30,11.0
graska gora,Koroška,2005-11-30,21.0
ljubljana b.,Osrednjeslovenska,2005-11-30,10.0
vnajnarje,Osrednjeslovenska,2005-11-30,15.0
maribor,Podravska,2005-11-30,21.0
murska s.-rakican,Pomurska,2005-11-30,13.0
pesje,Posavska,2005-11-30,10.0
eis krsko,Posavska,2005-11-30,36.0
celje,Savinjska,2005-11-30,26.0
sostanj,Savinjska,2005-11-30,61.0
topolsica,Savinjska,2005-11-30,20.0
veliki vrh,Savinjska,2005-11-30,143.0
zavodnje,Savinjska,2005-11-30,48.0
velenje,Savinjska,2005-11-30,9.0
skale,Savinjska,2005-11-30,10.0
eis celje,Savinjska,2005-11-30,
eis teb,Savinjska,2005-11-30,
trbovlje,Zasavska,2005-11-30,70.0
hrastnik,Zasavska,2005-11-30,20.0
zagorje,Zasavska,2005-11-30,14.0
kovk,Zasavska,2005-11-30,37.0
dobovec,Zasavska,2005-11-30,35.0
kum,Zasavska,2005-11-30,3.0
ravenska vas,Zasavska,2005-11-30,28.0
nova gorica,Goriška,2005-12-31,14.0
graska gora,Koroška,2005-12-31,59.0
ljubljana b.,Osrednjeslovenska,2005-12-31,13.0
vnajnarje,Osrednjeslovenska,2005-12-31,15.0
maribor,Podravska,2005-12-31,15.0
murska s.-rakican,Pomurska,2005-12-31,12.0
pesje,Posavska,2005-12-31,11.0
eis krsko,Posavska,2005-12-31,148.0
celje,Savinjska,2005-12-31,33.0
sostanj,Savinjska,2005-12-31,29.0
topolsica,Savinjska,2005-12-31,31.0
veliki vrh,Savinjska,2005-12-31,134.0
zavodnje,Savinjska,2005-12-31,221.0
velenje,Savinjska,2005-12-31,8.0
skale,Savinjska,2005-12-31,33.0
eis celje,Savinjska,2005-12-31,12.0
eis teb,Savinjska,2005-12-31,
trbovlje,Zasavska,2005-12-31,53.0
hrastnik,Zasavska,2005-12-31,23.0
zagorje,Zasavska,2005-12-31,13.0
kovk,Zasavska,2005-12-31,25.0
dobovec,Zasavska,2005-12-31,7.0
kum,Zasavska,2005-12-31,3.0
ravenska vas,Zasavska,2005-12-31,47.0
nova gorica,Goriška,2006-01-31,18.0
graska gora,Koroška,2006-01-31,47.0
ljubljana b.,Osrednjeslovenska,2006-01-31,41.0
oms lj. (vnajnarje),Osrednjeslovenska,2006-01-31,42.0
maribor,Podravska,2006-01-31,24.0
murska s.-rakican,Pomurska,2006-01-31,20.0
eis krsko,Posavska,2006-01-31,43.0
pesje,Posavska,2006-01-31,32.0
celje,Savinjska,2006-01-31,35.0
eis celje,Savinjska,2006-01-31,13.0
sostanj,Savinjska,2006-01-31,26.0
topolsica,Savinjska,2006-01-31,28.0
veliki vrh,Savinjska,2006-01-31,71.0
zavodnje,Savinjska,2006-01-31,56.0
velenje,Savinjska,2006-01-31,24.0
skale,Savinjska,2006-01-31,24.0
eis teb (sv.mohor),Savinjska,2006-01-31,90.0
trbovlje,Zasavska,2006-01-31,39.0
hrastnik,Zasavska,2006-01-31,44.0
zagorje,Zasavska,2006-01-31,39.0
kovk,Zasavska,2006-01-31,38.0
dobovec,Zasavska,2006-01-31,42.0
kum,Zasavska,2006-01-31,0.0
ravenska vas,Zasavska,2006-01-31,69.0
nova gorica,Goriška,2006-02-28,18.0
graska gora,Koroška,2006-02-28,25.0
ljubljana b.,Osrednjeslovenska,2006-02-28,11.0
oms lj. (vnajnarje),Osrednjeslovenska,2006-02-28,26.0
maribor,Podravska,2006-02-28,16.0
murska s.-rakican,Pomurska,2006-02-28,16.0
eis krsko,Posavska,2006-02-28,280.0
pesje,Posavska,2006-02-28,22.0
celje,Savinjska,2006-02-28,26.0
eis celje,Savinjska,2006-02-28,12.0
sostanj,Savinjska,2006-02-28,45.0
topolsica,Savinjska,2006-02-28,22.0
veliki vrh,Savinjska,2006-02-28,106.0
zavodnje,Savinjska,2006-02-28,85.0
velenje,Savinjska,2006-02-28,18.0
skale,Savinjska,2006-02-28,11.0
eis teb (sv.mohor),Savinjska,2006-02-28,18.0
trbovlje,Zasavska,2006-02-28,17.0
hrastnik,Zasavska,2006-02-28,18.0
zagorje,Zasavska,2006-02-28,47.0
kovk,Zasavska,2006-02-28,19.0
dobovec,Zasavska,2006-02-28,14.0
kum,Zasavska,2006-02-28,15.0
ravenska vas,Zasavska,2006-02-28,120.0
nova gorica,Goriška,2006-03-31,16.0
graska gora,Koroška,2006-03-31,30.0
ljubljana b.,Osrednjeslovenska,2006-03-31,12.0
oms lj. (vnajnarje),Osrednjeslovenska,2006-03-31,9.0
maribor,Podravska,2006-03-31,12.0
murska s.-rakican,Pomurska,2006-03-31,13.0
eis krsko,Posavska,2006-03-31,74.0
pesje,Posavska,2006-03-31,12.0
celje,Savinjska,2006-03-31,14.0
eis celje,Savinjska,2006-03-31,12.0
sostanj,Savinjska,2006-03-31,42.0
topolsica,Savinjska,2006-03-31,17.0
veliki vrh,Savinjska,2006-03-31,59.0
zavodnje,Savinjska,2006-03-31,77.0
velenje,Savinjska,2006-03-31,13.0
skale,Savinjska,2006-03-31,20.0
eis teb (sv.mohor),Savinjska,2006-03-31,44.0
trbovlje,Zasavska,2006-03-31,18.0
hrastnik,Zasavska,2006-03-31,24.0
zagorje,Zasavska,2006-03-31,30.0
kovk,Zasavska,2006-03-31,69.0
dobovec,Zasavska,2006-03-31,9.0
kum,Zasavska,2006-03-31,13.0
ravenska vas,Zasavska,2006-03-31,23.0
nova gorica,Goriška,2006-04-30,18.0
graska gora,Koroška,2006-04-30,13.0
ljubljana b.,Osrednjeslovenska,2006-04-30,5.0
oms lj. (vnajnarje),Osrednjeslovenska,2006-04-30,6.0
maribor,Podravska,2006-04-30,9.0
murska s.-rakican,Pomurska,2006-04-30,9.0
eis krsko,Posavska,2006-04-30,194.0
pesje,Posavska,2006-04-30,5.0
celje,Savinjska,2006-04-30,8.0
eis celje,Savinjska,2006-04-30,1.0
sostanj,Savinjska,2006-04-30,27.0
topolsica,Savinjska,2006-04-30,8.0
veliki vrh,Savinjska,2006-04-30,14.0
zavodnje,Savinjska,2006-04-30,14.0
velenje,Savinjska,2006-04-30,12.0
skale,Savinjska,2006-04-30,11.0
eis teb (sv.mohor),Savinjska,2006-04-30,19.0
trbovlje,Zasavska,2006-04-30,29.0
hrastnik,Zasavska,2006-04-30,14.0
zagorje,Zasavska,2006-04-30,14.0
kovk,Zasavska,2006-04-30,21.0
dobovec,Zasavska,2006-04-30,13.0
kum,Zasavska,2006-04-30,5.0
ravenska vas,Zasavska,2006-04-30,21.0
nova gorica,Goriška,2006-05-31,12.0
graska gora,Koroška,2006-05-31,14.0
